voyageid,voyagerank,voyagename,port,sailingfrom,ground,yearout,dayout,yearin,dayin,returncode,agentid,agent,bone,sperm,oil,customsdistrict,logbookexists,aowllink,crewlistlink,source,masterid,master,fate,birth,birthlocation,death,deathlocation,wife,wifetosea,vitalrecordssource,lateroccupation,vesselid,vessel,rig,tonnage,builtplace,builtdate,end,denniswood,logbookscan,voyagecode,boatcode,max_distance,years,price_sperm,price_sperm_real,price_oil,price_oil_real,price_bone,price_bone_real,lost,lost_total,_merge2,product,product_nom,tonn_avg,enddate,life,duration,mastercode,age,lay,_merge,Total,experience,re_prod,n_voyage,l_re_prod,change_boat,stay_boat
AV10513,1,Nimrod : 1863-1865,"New Bedford, MA",,N Pacific,1863,1863 Apr 14,1865,1865 Jun 26,B,AA0524,"Gifford, William",3800,171,220,New Bedford,MSM,NULL,1,"1, 4, 6, 5, 7, 452, 76, 47",AM1010,"Clark, James M.",,"Jan 10, 1820","Rochester, MA","May 17, 1897","Mattapoisett, MA",Maria Benson,1,"320, 590, 591",,AS0494,Nimrod,Bark / Ship,341,"So Dartmouth, MA",1842,"Capt and burned by Shenandoah June 26, 1865",4-152,NULL,9563,483,,2,1.61,1.21,.95249999,.72000003,1.53,1.15,.095808387,16,Matched (3),19713.02,26178.119,341,1865,,2,881,,,both in master and using data,6,5,9856.5098,5,7854,1,
AV10996,1,Orlando : 1867-1870,"New Bedford, MA",,,1867,1867 Apr 9,1870,1870,So,AA0600,"Hitch, Charles & Son",0,857,10,New Bedford,MSM,NULL,1,"1, 4, 6, 7, 76, 47",AM1010,"Clark, James M.",,"Jan 10, 1820","Rochester, MA","May 17, 1897","Mattapoisett, MA",Maria Benson,1,"320, 590, 591",,AS0736,Orlando,Bark,190,"Newburyport, MA",1856,"Sold to Port Jefferson, Ny for freighting, 1873",4-281,NULL,9988,725,,3,2.2349999,1.38,.73250002,.44999999,1.175,.73000002,.082278483,13,Matched (3),49860.719,80754.234,190,1873,17,3,881,,,both in master and using data,6,6,16620.24,6,9856.5098,1,
AV10103,1,Moss : 1833-1836,"New Bedford, MA",,Pacific,1833,1833,1836,1836,C,,NULL,0,2522,0,"New Bedford, MA",NBL,NULL,1,"1, 4, 6, 5, 561",AM1012,"Clark, Shubael",,1801,,Aug 1880,"Boston, MA",,,561,,AS0362,Moss,Ship,334,"Kensington, PA",1822,"Cond at Valparaiso, Mar, 1845",,NULL,9194,355,,3,.85000002,.88999999,.25999999,.27000001,.13,.14,.04812834,9,Matched (3),94272.359,90035.406,334,1845,,3,883,,,both in master and using data,3,1,31424.119,1,,,
AV11758,1,Ploughboy : 1843-1847,"New Bedford, MA",,Pacific,1843,1843 Oct 18,1847,1847,L,AA0930,"Nye, T. & A. R.",0,2200,50,New Bedford,,NULL,1,"1, 2, 4, 7, 395, 5, 561",AM1012,"Clark, Shubael",,1801,,Aug 1880,"Boston, MA",,,561,,AS0542,Ploughboy,Ship,391,"haddam, CT",1821,"Wrecked Guayaquil, Ecuador, May, 1849",1-413,NULL,10679,530,,4,.63,.83999997,.345,.46000001,.35749999,.47999999,.077738516,22,Matched (3),78582,58936.5,391,1849,28,4,883,,,both in master and using data,3,2,19645.5,2,31424.119,1,
AV08055,1,Kensington : 1852-1857,"New Bedford, MA",,Pacific,1852,1852,1857,1857,,AA0713,"Kempton, David B.",500,1385,80,New Bedford,,NULL,1,"1, 4, 5, 395, 561",AM1012,"Clark, Shubael",,1801,,Aug 1880,"Boston, MA",,,561,,AS0358,Kensington,Ship,357,"Duxbury, MA",1841,Stone Fleet #1,,NULL,7345,351,,5,1.2375,1.41,.68167001,.76999998,.50749999,.57999998,.084269665,15,Matched (3),84896.898,74529.531,357,1861,,5,883,,,both in master and using data,3,3,16979.379,3,19645.5,1,
AV11013,1,Orray Taft : 1856-1858,"New Bedford, MA",,,1856,1856 Nov 20,1858,1858,L,AA0777,"Lucas, Allen",0,447,42,New Bedford,,NULL,1,"1, 4, 7, 395, 5",AM1013,"Clark, John C.",,,,,,,,,,AS0506,Orray Taft,Bark,176/134.5,"Providence, RI",1839,"Lost, Marble Is, Hudson Bay, Sept 14, 1872",3-238,NULL,10004,495,,2,1.62,1.54,.79500002,.75999999,.57999998,.55000001,.11824324,35,Matched (3),30252.6,31816.26,155.25,1872,,2,884,,.071428575,both in master and using data,2,1,15126.3,1,,,
AV00704,1,Altamaha (Alatamaha) : 1859-1860,"Sippican, MA",,Atlantic,1859,1859 Jun 29,1860,1860 Jul 24,B,AA0780,"Luce, Stephen C.",0,225,15,New Bedford,,NULL,1,"1, 4, 5, 7, 395",AM1013,"Clark, John C.",,,,,,,,,,AS0849,Altamaha (Alatamaha),Brig / Schr,119,"Mattapoisett, MA",1836,Capt and burned by Alabama,3-414,NULL,647,834,,1,1.3625,1.4299999,.48500001,.50999999,.88,.93000001,.1124498,28,Matched (3),13834.8,13181.175,119,1862,,1,884,,,both in master and using data,2,2,13834.8,2,15126.3,1,
AV00751,1,Amazon : 1841-1845,"Fairhaven, MA",,Pacific,1841,1841 Sep 21,1845,1845,L,AA0233,"Church, Nathan",8000,600,1300,New Bedford,,NULL,1,"1, 2, 4, 7, 5, 395",AM1017,"Clark, Uriah",,"Feb 5,1800",,"Feb 11, 1873","Nantucket, MA",Nancy Swain,,"591, 598",,AS0853,Amazon,Bark / Ship,318,"Berkley, MA",1815,"Sunk at Charleston, 1861, Stone Fleet",1-15,NULL,693,838,,4,.94,1.02,.3175,.34999999,.19670001,.20999999,.062271062,17,Matched (3),46494,42597.102,318,1861,,4,887,,,both in master and using data,1,1,11623.5,1,,,
AV12740,1,Sally : 1808-1810,"New Bedford, MA",,Pacific,1808,1808,1810,1810 Aug 16,S,AA1080,"Rotch, William, Jr.",,,,"New Bedford, MA",,NULL,1,"1, 2, 4, 234",AM1018,"Clark, Obed",,"prob May 15, 1763","Nantucket, MA","Oct 14, 1838","Nantucket, MA",Sally Bunker,,"598, 536",,AS0594,Sally,Ship,222,Wethersfield CT,1803,"Captured, sent into Bermuda, July 20, 1812",,NULL,11596,583,,2,.80000001,.69999999,.44,.38,.07,.059999999,.0625,2,Matched (3),,,222,1812,,2,889,34,,both in master and using data,1,1,,1,,,
AV11912,1,President : 1816,"New Bedford, MA",,Cape Verde,1816,1816 Apr 03,1816,1816 Dec 29,C,,NULL,0,450,0,"New Bedford, MA",,NULL,1,"1, 4, 50, 5, 256",AM1020 ?,"Clark, William",,,,,,,,,,AS0570,President,Bark / Brig,133/132/167,"Worcester Co, MD",1815,"Cond and broken up at Westport, 1848",,NULL,10825,559,,0,1.125,.75,.64999998,.43000001,.12,.079999998,.034482758,2,Matched (3),14175,21262.5,144,1848,,1,892,,,both in master and using data,5,1,14175,1,,,
AV11913,1,President : 1817-1818,"New Bedford, MA",,Cape Verde,1817,1817 May,1818,1818 Apr 5,C,AA1063,"Rodman, Samuel, Jr.",0,450,0,"New Bedford, MA",,NULL,1,"1, 2, 4, 5, 512",AM1020 ?,"Clark, William",,,,,,,,,,AS0570,President,Bark / Brig,133/132/167,"Worcester Co, MD",1815,"Cond and broken up at Westport, 1848",,NULL,10826,559,,1,.72000003,.47999999,.60000002,.40000001,.12,.079999998,.055555556,3,Matched (3),9072,13608.001,144,1848,,1,892,,,both in master and using data,5,2,9072,2,14175,,1
AV11914,1,President : 1818-1819,"New Bedford, MA",,Cape Verde,1818,1818 Jul 2,1819,1819,C,,NULL,0,450,0,"New Bedford, MA",,NULL,1,"1, 2, 4, 395, 5",AM1020 ?,"Clark, William",,,,,,,,,,AS0570,President,Bark / Brig,133/132/167,"Worcester Co, MD",1815,"Cond and broken up at Westport, 1848",,NULL,10827,559,,1,.89999998,.61000001,.5,.34,.1,.07,.068965517,4,Matched (3),11529,17010,144,1848,33,1,892,,,both in master and using data,5,3,11529,3,9072,,1
AV15812,1,Winslow : 1820-1822,"New Bedford, MA",,Brazil,1820,1820 May,1822,1822 Sep,L,,NULL,0,0,1000,"New Bedford, MA",,NULL,1,"1, 2, 4, 64, 234, 5",AM1020 ?,"Clark, William",,,,,,,,,,AS0676,Winslow,Bark / Ship,222/263,"Duxbury, MA",1801,"Lost near Honolulu, Mar 17, 1858",,NULL,14378,666,,2,.935,.88,.34999999,.33000001,.1,.090000004,.083333336,7,Matched (3),13860.001,14700,242.5,1858,,2,892,,,both in master and using data,5,4,6930.0005,4,11529,1,
AV15813,1,Winslow : 1822-1825,"New Bedford, MA",,Pacific,1822,1822,1825,1825,L,,NULL,0,1140,60,"New Bedford, MA",,NULL,1,"1, 2, 48, 5",AM1020 ?,"Clark, William",,,,,,,,,,AS0676,Winslow,Bark / Ship,222/263,"Duxbury, MA",1801,"Lost near Honolulu, Mar 17, 1858",,NULL,14379,666,,3,.64999998,.61000001,.31999999,.30000001,.12,.11,.018691588,2,Matched (3),29962.801,31928.398,242.5,1858,,3,892,,,both in master and using data,5,5,9987.6006,5,6930.0005,,1
AV15126,1,Vesper : 1844-1846,"New London, CT",,,1844,1844,1846,1846,C,AA1364,Williams & Barnes,26000,160,2640,New London,,NULL,1,"1, 11, 4, 5, 7, 66",AM1021,"Clark, William W.",,,,,,,,,,AS2557,Vesper,Ship,321,"Newbury, MA",1827,"Cond and sold at Hilo, Apr 1, 1861",2-216,NULL,13748,2450,,2,.90499997,1.1799999,.36500001,.47,.40000001,.51999998,.079710148,22,Matched (3),73563.195,56952.801,321,1861,34,2,893,26,,both in master and using data,4,1,36781.598,1,,,
AV15127,1,Vesper : 1846-1849,"New London, CT",,,1846,1846,1849,1849,C,AA1364,Williams & Barnes,32000,250,2800,New London,,NULL,1,"1, 11, 4, 7, 66, 5",AM1021,"Clark, William W.",,,,,,,,,,AS2557,Vesper,Ship,321,"Newbury, MA",1827,"Cond and sold at Hilo, Apr 1, 1861",2-216,1,13749,2450,,3,.87875003,1.0599999,.33750001,.41,.34,.41,.062745102,16,Matched (3),72466,59796.875,321,1861,,3,893,28,,both in master and using data,4,2,24155.334,2,36781.598,,1
AV04116,1,Electra : 1850-1854,"New London, CT",,,1850,1850,1854,1854,L,AA1364,Williams & Barnes,69238,251,4415,New London,,NULL,1,"7, 268, 5, 434",AM1021,"Clark, William W.***",L,,,,,,,,,AS1261,Electra,Ship,348/347,"Kensington, PA",1811,Lost Nunaivk Isl July 1863,2-212,NULL,3777,1227,,4,1.207,1.4400001,.491,.57999998,.34400001,.41,.13095239,33,Matched (3),151117.45,127588.2,347.5,1863,,4,893,31,,both in master and using data,4,3,37779.363,3,24155.334,1,
AV09946,1,Mogul : 1853-1857,"New London, CT",,,1853,1853,1857,1857,,AA1364,Williams & Barnes,14550,45,1442,New London,,NULL,1,"1, 11, 4, 7, 66, 434, 5",AM1021,"Clark, William W.",,,,,,,,,,AS1958,Mogul,Ship,395,"Medford, MA",1823,,3-563; 2-474,NULL,9062,1893,,4,1.2474999,1.29,.58125001,.60000002,.345,.36000001,.074193545,23,Matched (3),44014.5,42580.352,395,1857,,4,893,35,,both in master and using data,4,4,11003.625,4,37779.363,1,
AV13421,1,Star Castle : 1867-1869,"Fairhaven, MA",,"Atlantic, Cape Verde, W Indies",1867,1867 May 13,1869,1869,L,AA0363,Damon & Judd,0,1020,150,New Bedford,PPL,NULL,1,"1, 17, 4, 6, 5, 7, 420, 427, 529",AM1043,"Clay, Henry (Rodriques, Acquilla)",,1836,"Flores, Azores","Jan 2, 1901","New Bedford, MA",Alice Every,,"529, 17",,AS2429,Star Castle,Brig,116,,1867,"Lost, cond, sold abroad",4-351,NULL,12196,2330,,2,2.2349999,1.38,.73250002,.44999999,1.175,.73000002,.082278483,13,Matched (3),61954.199,100362.15,116,1869,2,2,910,,,both in master and using data,5,1,30977.1,1,,,
AV02886,1,Cicero : 1870-1873,"New Bedford, MA",,"Atlantic, W Indies",1870,1870 May 9,1873,1873 Oct 24,A,AA1167,"Snow, Loum & Son",1300,975,375,New Bedford,NBL,1,1,"1, 17, 4, 6, 7, 420, 427, 5, 529, 47",AM1043,"Clay, Henry (Rodriques, Acquilla)",,1836,"Flores, Azores","Jan 2, 1901","New Bedford, MA",Alice Every,1,"529, 17",,AS0096,Cicero,Bark / Ship,252/251/227226,"Mattapoisett, MA",1822,"Aband and broken up, 1883",4-30; 4-407,NULL,2625,96,6.2137556,3,1.355,1,.67250001,.5,.85000002,.63,.11612903,18,Matched (3),49644,67184.125,251.5,1883,,3,910,,,both in master and using data,5,2,16548,2,30977.1,1,
AV05845,1,Golden City : 1875-1876,"New Bedford, MA",,"Atlantic, Gulf of Mexico, W Indies",1875,1875 Dec 9,1876,1876 Sep 29,C,AA0250,"Clay, Henry",0,440,40,New Bedford,PPL,1,1,"1, 17, 4, 6, 5, 395, 529",AM1043,"Clay, Henry (Rodriques, Acquilla)",,1836,"Flores, Azores","Jan 2, 1901","New Bedford, MA",Alice Every,,"529, 17",,AS0264,Golden City,Schr,84/80,"Cape Breton, NS",1863,"Cond, Nov 7, 1905",,NULL,5358,259,3.2129734,1,1.6033,1.36,.65249997,.55000001,1.2707,1.08,.15217391,14,Matched (3),26056.801,30725.184,82,1905,,1,910,,,both in master and using data,5,3,26056.801,3,16548,1,
AV13109,1,Seine : 1876-1877,"New Bedford, MA",,Atlantic,1876,1876 Nov 9,1877,1877 apr 6,L,AA0729,"Knowles, John P., II",0,300,0,New Bedford,,NULL,1,"1, 13, 17, 4, 395, 5, 529",AM1043,"Clay, Henry (Rodriques, Acquilla)",,1836,"Flores, Azores","Jan 2, 1901","New Bedford, MA",Alice Every,,"529, 17",,AS0610,Seine,Bark / Ship,281/234/235,"Saybrook, CT",1818,"Lost at Cape Frio, Brazil, June 28, 1884",,NULL,11914,600,,1,1.405,1.28,.61000001,.55000001,2.1400001,1.95,.13043478,12,Matched (3),16128,17703,250,1884,,1,910,,,both in master and using data,5,4,16128,4,26056.801,1,
AV05846,1,Golden City : 1877-1878,"New Bedford, MA",,Atlantic,1877,1877 Jun 19,1878,1878 Sep 21,C,AA0250,"Clay, Henry",0,365,40,New Bedford,,NULL,1,"1, 13, 5, 529",AM1043,"Clay, Henry (Rodriques, Acquilla)",,1836,"Flores, Azores","Jan 2, 1901","New Bedford, MA",Alice Every,,"529, 17",,AS0264,Golden City,Schr,84/80,"Cape Breton, NS",1863,"Cond, Nov 7, 1905",,NULL,5359,259,,1,1.13,1.0700001,.51999998,.49000001,2.5,2.3599999,.09589041,7,Matched (3),17226.301,18196.5,82,1905,,1,910,,,both in master and using data,5,5,17226.301,5,16128,1,
AV02196,1,California : 1862-1866,"New Bedford, MA",,"Baja, Pacific",1862,1862 Aug 23,1866,1866,C,AA0641,"Howland, I., Jr. & Co.",29050,80,2218,New Bedford,NBL,1,1,"1, 4, 6, 7, 5, 395",AM1044,"Cleaveland, Charles E.",,,,,,,,,,AS0093,California,Bark / Ship,398/367,"New Bedford, MA",1842,Broken up at San Francisco,4-23,NULL,2006,93,31.430855,4,1.425,1.37,.59329998,.56999999,.81999999,.79000002,.17171717,34,Matched (3),80651.617,83878.453,382.5,1906,,4,911,,,both in master and using data,1,1,20162.904,1,,,
AV02808,1,Cherokee : 1846-1849,"New Bedford, MA",,"N Pacific, S Pacific",1846,1846,1849,1849,So,AA0564,Hathaway & Luce,16000,288,2341,New Bedford,"PPL, MAU",1,1,"1, 2, 4, 6, 36, 54, 7, 335, 5, 395",AM1046,"Cleaveland (Cleveland), Jacob L.",,c. 1820,,1870,"at sea, buried at Vineyard Haven, MA",Sarah F. Gray,,"4, 665",,AS0101,Cherokee,Bark,297/261,"Falmouth, ME",1829,"Sold to New York, 1872; foreign, 1873",2-101,NULL,2555,101,30.059536,3,.87875003,1.0599999,.33750001,.41,.34,.41,.062745102,16,Matched (3),59693.777,49253.035,279,1873,44,3,913,,.05882353,both in master and using data,8,1,19897.926,1,,,
AV02809,1,Cherokee : 1849-1851,"New Bedford, MA",,Pacific,1849,1849,1851,1851,So,AA0564,Hathaway & Luce,20900,68,1908,New Bedford,MAU,1,1,"1, 2, 4, 54, 5, 7, 50, 335, 5, 395",AM1046,"Cleaveland, Jacob L.***",L,c. 1820,,1870,"at sea, buried at Vineyard Haven, MA",Sarah F. Gray,,"4, 665",,AS0101,Cherokee,Bark,297/261,"Falmouth, ME",1829,"Sold to New York, 1872; foreign, 1873",2-101,NULL,2556,101,30.164316,2,1.089,1.33,.39899999,.49000001,.31799999,.38999999,.050632913,12,Matched (3),51216.121,41730.648,279,1873,,2,913,,.06666667,both in master and using data,8,2,25608.061,2,19897.926,,1
AV07935,1,Julian : 1851-1854,"New Bedford, MA",,,1851,1851,1854,1854,So,AA0564,Hathaway & Luce,30104,163,2636,New Bedford,,NULL,1,"1, 2, 4, 54, 5, 7, 395",AM1046,"Cleaveland, Jacob L.",,c. 1820,,1870,"at sea, buried at Vineyard Haven, MA",Sarah F. Gray,,"4, 665",,AS0323,Julian,Ship,362/356,"Duxbury, MA",1828,"Sold to NY, Germany, and Honolulu",2-350,NULL,7233,316,,3,1.2725,1.53,.453125,.55000001,.345,.41999999,.078291818,22,Matched (3),84009.664,69263.789,359,1862,34,3,913,,.071428575,both in master and using data,8,3,28003.221,3,25608.061,1,
AV07936,1,Julian : 1854-1858,"New Bedford, MA",,,1854,1854,1858,1858,So,AA0574,"Hathaway, William, Jr.",26950,69,2975,New Bedford,,NULL,1,"4, 5, 7, 395",AM1046,"Cleaveland, Jacob L.",,c. 1820,,1870,"at sea, buried at Vineyard Haven, MA",Sarah F. Gray,,"4, 665",,AS0323,Julian,Ship,362/356,"Duxbury, MA",1828,"Sold to NY, Germany, and Honolulu",2-350; 3-156,NULL,7234,316,,4,1.4875,1.38,.59625,.55000001,.39199999,.36000001,.073248409,23,Matched (3),82423.742,89376.609,359,1862,,4,913,,.071428575,both in master and using data,8,4,20605.936,4,28003.221,,1
AV09470,1,Matthew Luce : 1859-1863,"New Bedford, MA",,Pacific,1859,1859 May 18,1863,1863,L,AA0574,"Hathaway, William, Jr.",0,1460,0,New Bedford,,NULL,1,"4, 7, 5",AM1046,"Cleaveland, Jacob L.",,c. 1820,,1870,"at sea, buried at Vineyard Haven, MA",Sarah F. Gray,,"4, 665",,AS0474,Matthew Luce,Bark,409,"Mattapoisett, MA",1854,"Sold to Boston for China Trade, 1865 or to Japanes Govt, became Kauko Maru and was lost soon afterward on the Japan Coast",3-198; 3-633; 3-634,NULL,8635,464,,4,1.3625,1.4299999,.48500001,.50999999,.88,.93000001,.1124498,28,Matched (3),87687.594,83548.5,409,1865,11,4,913,,,both in master and using data,8,5,21921.898,5,20605.936,1,
AV07283,1,James Arnold : 1864-1865,"New Bedford, MA",,,1864,1864 May 28,1865,1865,So,AA1253,"Taber, Henry & Co.",300,709,10,New Bedford,,NULL,1,"1, 4, 54, 7, 210, 5, 395",AM1046,"Cleaveland, Jacob L.",,c. 1820,,1870,"at sea, buried at Vineyard Haven, MA",Sarah F. Gray,,"4, 665",,AS0340,James Arnold,Ship,393/346,"New Bedford, MA",1852,"Sold to Talcahuano, whaled from there.",4-96,NULL,6662,333,,1,1.78,.92000002,1.28,.66000003,1.8,.93000001,.11111111,18,Matched (3),27951.961,54082.438,369.5,1894,,1,913,,,both in master and using data,8,6,27951.961,6,21921.898,1,
AV10472,1,Niger : 1866-1870,"New Bedford, MA",,,1866,1866 May 28,1870,1870,C,AA0574,"Hathaway, William, Jr.",5757,1379,798,New Bedford,,NULL,1,"1, 4, 54, 5, 50, 7",AM1046,"Cleaveland, Jacob L.",,c. 1820,,1870,"at sea, buried at Vineyard Haven, MA",Sarah F. Gray,,"4, 665",,AS0496,Niger,Ship,437/412,"Mattapoisett, MA",1844,"Sold and broken up, 1896",4-151; 4-268,NULL,9529,485,,4,2.55,1.47,1.21,.69999999,1.37,.79000002,.14399999,18,Matched (3),113148.69,196132.34,424.5,1896,,4,913,,,both in master and using data,8,7,28287.172,7,27951.961,1,
AV00270,1,Adeline Gibbs : 1870,"New Bedford, MA",,,1870,1870 Sep 1,1870,1870 Sep 27,L,AA0140,"Bourne, Jonathan, Jr.",,,,New Bedford,,NULL,1,"1, 4, 54, 7, 12, 277, 5, 614",AM1046,"Cleaveland, Jacob L.**",D,c. 1820,,1870,"at sea, buried at Vineyard Haven, MA",Sarah F. Gray,,"4, 665",,AS0033,Adeline Gibbs,Bark / Ship,381/354/351/327,"Fairhaven, MA",1841,"Wrecked in a hurricane off Bermuda, Aug, 1890",4-6,NULL,251,34,,0,1.355,1,.67250001,.5,.85000002,.63,.11612903,18,Matched (3),,,353.25,1890,,1,913,,,both in master and using data,8,8,,8,28287.172,1,
AV09391,1,Mary Wilder : 1852-1854,"New Bedford, MA",,Pacific,1852,1852,1854,1854,So,AA0023,"Almy, Charles",0,974,2,New Bedford,,NULL,1,"1, 4, 395, 5, 76, 47",AM1047,"Cleaveland, James Freeman",,"? July 25, 1823",Martha’s Vineyard ?,"May 18, 1906","WestTisbury, MA",Mary Carlin,1,"574, 591",,AS0471,Mary Wilder,Ship,213,"Pittston, ME",1848,"Sold to New York, 1864",,NULL,8559,461,,2,1.2375,1.41,.68167001,.76999998,.50749999,.57999998,.084269665,15,Matched (3),57744.957,50680.91,213,1864,,2,914,,.071428575,both in master and using data,2,1,28872.479,1,,,
AV13091,1,Seconet : 1855-1860,"New Bedford, MA",,Pacific,1855,1855 Sep 5,1860,1860,So,AA0023,"Almy, Charles",0,1699,31,New Bedford,KWM,NULL,1,"1, 4, 6, 42, 7, 150, 395, 5, 76, 47",AM1047,"Cleaveland, James Freeman",,"? July 25, 1823",Martha’s Vineyard ?,"May 18, 1906","WestTisbury, MA",Mary Carlin,1,"574, 591",,AS0626,Seconet,Ship,400,"Fairhaven, MA",1855,"Sold foreign, 1862",3-658,NULL,11898,616,,5,1.772,1.61,.713,.64999998,.45249999,.41,.12396694,30,Matched (3),115732.68,127374.7,400,1862,7,5,914,,.071428575,both in master and using data,2,2,23146.535,2,28872.479,1,
AV11477,1,Petrel : 1866,"New Bedford, MA",,Pacific,1866,1866 May 23,1866,1866,L,,NULL,,,,New Bedford,,NULL,1,"1, 7, 395, 5",AM1048,"Cleaveland, James M.",,,,,,,,,,AS0545,Petrel,Bark / Ship,350/257,"Mattapoistee, MA",1853,"Lost in a gale, No Atl, Oct 28, 1879",4-171,NULL,10423,533,,0,2.55,1.47,1.21,.69999999,1.37,.79000002,.14399999,18,Matched (3),,,303.5,1895,,1,915,,,both in master and using data,1,1,,1,,,
AV08939,1,Margaret Scott : 1857-1861,"New Bedford, MA",,,1857,1857 Sep 15,1861,1861,C,AA0480,"French, Rodney",4416,396,739,New Bedford,,NULL,1,"1, 4, 7, 211, 5, 395, 561, 536",AM1049,"Cleaveland, Oliver S.",,"June 21, 1820","Nantucket, MA",1888,"Dartmouth, MA",Almira Ricketson,,"561, 536, 602","served 2 terms in Civil War, invalided as a result",AS0446,Margaret Scott,Bark / Ship,307,"Durham, NH",1826,"Cond as a slaver, Stone Fleet # 2",3-187,NULL,8163,436,,4,1.2833,1.16,.73250002,.66000003,.96749997,.87,.10472973,31,Matched (3),43620.121,48351.66,307,1861,,4,916,,,both in master and using data,1,1,10905.03,1,,,
AV13023,1,Sea Flower : 1856-1857,"New Bedford, MA",,,1856,1856 Jun 5,1857,1857,L,AA0023,"Almy, Charles",0,202,11,New Bedford,,NULL,1,"1, 4, 7, 395, 5",AM1050,"Cleaveland, Sylvanus",,,,"Mar 27, 1885","Falmouth, MA",Abbie B.,,591,,AS0619,Sea Flower,Bark,150,"Pittston, ME",1841,"Wrecked, Cape Verde Is, 1859?",3-272,NULL,11844,609,,1,1.62,1.54,.79500002,.75999999,.57999998,.55000001,.11824324,35,Matched (3),13416.479,14111.37,150,1859,18,1,917,,.083333336,both in master and using data,2,1,13416.479,1,,,
AV09394,1,Mary Wilder : 1860-1864,"New Bedford, MA",,Pacific,1860,1860 Aug 8,1864,1864,So,AA0023,"Almy, Charles",0,380,50,New Bedford,,NULL,1,"1, 4, 7, 5, 395",AM1050,"Cleaveland, Sylvanus",,,,"Mar 27, 1885","Falmouth, MA",Abbie B.,,591,,AS0471,Mary Wilder,Ship,213,"Pittston, ME",1848,"Sold to New York, 1864",3-552,NULL,8562,461,,4,1.415,1.52,.495,.52999997,.80199999,.86000001,.069565214,16,Matched (3),25372.199,23622.898,213,1864,,4,917,,,both in master and using data,2,2,6343.0498,2,13416.479,1,
AV08396,1,Lewis : 1849-1853,"New Bedford, MA",,,1849,1849,1853,1853,,AA0104,"Bartlett, Ivory H. & Son",0,1263,0,New Bedford,LC,NULL,1,"1, 2, 4, 6, 7, 5, 395, 76",AM1053,"Clement, William W.",,,,,,Unknown,1,"76, 574",,AS0380,Lewis,Bark / Ship,281/308,"Portsmouth, NH",1820,Stone Fleet #1,2-389,NULL,7655,371,,4,1.089,1.33,.39899999,.49000001,.31799999,.38999999,.050632913,12,Matched (3),70551.18,57767.094,294.5,1861,,4,919,,.05882353,both in master and using data,2,1,17637.795,1,,,
AV09717,1,Miantonomi : 1853-1854,"New Bedford, MA",,Pacific,1853,1853 Jun 13,1854,1854,L,AA1235,Swift & Allen,0,300,0,New Bedford,NBL,NULL,1,"1, 2, 4, 6, 7, 50, 5",AM1053,"Clement, William W.",,,,,,Unknown,,"76, 574",,AS0473,Miantonomi,Ship,396,"Bay Riverr, NC",1849,"Lost, Ascension Is, Nov 18, 1854",3-204,NULL,8854,463,,1,1.2474999,1.29,.58125001,.60000002,.345,.36000001,.074193545,23,Matched (3),16254,15718.499,396,1854,5,1,919,,,both in master and using data,2,2,16254,2,17637.795,1,
AV01793,1,Bertha : 1883-1887,"New Bedford, MA",,Pacific,1883,1883 May 1,1887,1887,L,AA1307,"Tucker, John F.",2168,59,253,New Bedford,KWM,NULL,1,"1, 13, 6, 5, 395",AM1055,"Cleveland, Benjamin D.",,1844,"Edgartown or West Tisbury, MA",1925,,,,"8, 449, 619, 590",Whaling merchant,AS0440,Bertha,Bark,177/168,"New Bedford, MA",1877,"Lost off the coast of Africa in 1918, perhaps the result of a German torpedo (Amaral 17)",,NULL,1634,430,,4,.97000003,.95999998,.54000002,.52999997,2.8699999,2.8399999,.065934069,6,Matched (3),14167.779,14363.86,172.5,1918,,4,921,,,both in master and using data,9,1,3541.9448,1,,,
AV13616,1,Swallow : 1894-1895,"Boston, MA",New Bedford,Atlantic,1894,1894 May 10,1895,1895,So,AA0532,"Green, Richard T.",0,475,400,New Bedford,,NULL,1,"1, 13, 12, 395",AM1055,"Cleveland, Benjamin D.",,1844,"Edgartown or West Tisbury, MA",1925,,,,"8, 449, 619, 590",Whaling merchant,AS0636,Swallow,Bark / Ship,429/327/326,"Fairhaven, MA",1856,"Sold out 1873; returned to whaling, 1876; sold to New Bedford, 1899.",,NULL,12370,626,,1,.56,.80000001,.32499999,.46000001,2.95,4.21,.0625,3,Matched (3),23688,16632,360.66666,1899,,1,921,,,both in master and using data,9,2,23688,2,3541.9448,1,
AV13617,1,Swallow : 1895-1897,"Boston, MA",New Bedford,Atlantic,1895,1895 Dec 9,1897,1897,So,AA0532,"Green, Richard T.",0,780,60,New Bedford,,NULL,1,"1, 13",AM1055,"Cleveland, Benjamin D.",,1844,"Edgartown or West Tisbury, MA",1925,,,,"8, 449, 619, 590",Whaling merchant,AS0636,Swallow,Bark / Ship,429/327/326,"Fairhaven, MA",1856,"Sold out 1873; returned to whaling, 1876; sold to New Bedford, 1899.",,NULL,12371,626,,2,.47999999,.68000001,.28,.38999999,2.8299999,3.99,0,0,Matched (3),23259.6,16430.4,360.66666,1899,,2,921,,,both in master and using data,9,3,11629.8,3,23688,,1
